serial_number,block_number,trial_number,trial_id,trial_category,trial_gets_repeated,click_category,trial_repetitions,username,shape,int_device,ppi,mm_in_pixel,window_inner_width,window_inner_height,amplitude_mm,amplitude_px,start_size_mm,start_size_px,target_width_mm,target_width_px,target_height_mm,target_height_px,trial_direction,trial_angle_degree,start_center_x_px,start_center_y_px,target_center_x_px,target_center_y_px,start_click_touchdown_position_x_px,start_click_touchdown_position_y_px,start_click_touchup_position_x_px,start_click_touchup_position_y_px,target_click_touchdown_position_x_px,target_click_touchdown_position_y_px,target_click_touchup_position_x_px,target_click_touchup_position_y_px,click_distance_between_target_touchdown_touchup_px,click_distance_to_start_center_touchdown_xy_px,click_distance_to_start_center_touchdown_x_px,click_distance_to_start_center_touchdown_y_px,click_distance_to_start_center_touchup_xy_px,click_distance_to_start_center_x_touchup_px,click_distance_to_start_center_y_touchup_px,click_distance_to_target_center_touchdown_xy_px,click_distance_to_target_center_touchdown_x_px,click_distance_to_target_center_touchdown_y_px,click_distance_to_target_center_touchup_xy_px,click_distance_to_target_center_x_touchup_px,click_distance_to_target_center_y_touchup_px,total_clicks_amount,clicks_amount_after_start_click,click_time_from_start_to_target_ms,start_click_time_touchdown_to_touchup_ms,target_click_time_touchdown_to_touchup_ms
1,1,1,33,C33,false,C2 - Down Target | Up Inside Tolerance,0,Da,rectangle,touch,147.31,5.7996062992125985,360,752,40,231.98425196850394,10,57.996062992125985,5,168.17716612933228,20,115.99212598425197,right,180,51.93256899394197,352.59824350259,283.9168209624459,352.59824350259,65.66667175292969,366,65.66667175292969,370.66668701171875,291,347,312.3333435058594,353.3333435058594,22.253601620910793,19.18938914635653,13.734102758987717,13.40175649741002,22.695687463414973,13.734102758987717,18.06844350912877,9.028386101199738,7.083179037554089,5.59824350258998,28.42602901347869,28.416522543413464,0.7351000032693946,2,1,484.5,107.10000000009313,166.70000000018626
2,1,2,12,C12,false,C1 - Down Target | Up Target,0,Da,rectangle,touch,147.31,5.7996062992125985,360,752,41,237.78385826771654,10,57.996062992125985,20,672.7086645173291,12,69.59527559055118,up-left,60,205.76903612967735,505.74457886135053,86.87710699581905,299.8177169916296,197,511.3333435058594,198.6666717529297,513.6666870117188,109,306.66668701171875,111,309,3.0731660386776984,10.398571291061993,8.769036129677346,5.588764644508842,10.639707575221449,7.1023643767476585,7.922108150368217,23.158816576209556,22.122893004180952,6.848970020089155,25.811398414982676,24.122893004180952,9.182283008370405,2,1,385.5,115.79999999981374,116.39999999990687
3,1,3,54,C54,false,C1 - Down Target | Up Target,0,Da,rectangle,touch,147.31,5.7996062992125985,360,752,34,197.18661417322835,10,57.996062992125985,9,302.7188990327981,9,52.19645669291339,left-down,330,223.00755026023012,347.39166336366736,52.238933099973806,445.9849704502816,234,367,232.33334350585938,364.3333435058594,69.66667175292969,457.3333435058594,70.33333587646484,457.3333435058594,0.6666641235351562,22.479342003829018,10.992449739769881,19.608336636332638,19.33884551105798,9.325793245629256,16.941680142192013,20.796914327954912,17.42773865295588,11.348373055577781,21.358674650980813,18.094402776491037,11.348373055577781,2,1,403.70000000018626,116.10000000009313,127.10000000009313
4,1,4,15,C15,false,C1 - Down Target | Up Target,0,Da,rectangle,touch,147.31,5.7996062992125985,360,752,41,237.78385826771654,10,57.996062992125985,15,504.53149838799686,15,86.99409448818898,up-left,60,186.41485189343626,474.8666954733439,67.52292275957797,268.93983360362296,181.33334350585938,480.66668701171875,179.6666717529297,479.66668701171875,78,293.66668701171875,80,293.66668701171875,2,7.711136708568601,5.081508387576889,5.799991538374854,8.281174673752364,6.748180140506577,4.799991538374854,26.85491439135913,10.477077240422034,24.726853408095792,27.69647515350854,12.477077240422034,24.726853408095792,2,1,427,140,118.3000000002794
5,1,5,43,C43,false,C1 - Down Target | Up Target,0,Da,rectangle,touch,147.31,5.7996062992125985,360,752,41,237.78385826771654,10,57.996062992125985,10,336.35433225866456,30,173.98818897637796,down-right,240,125.1994568155179,244.13145695497178,244.09138594937627,450.05831882469266,128.33334350585938,269.3333435058594,128.6666717529297,270.3333435058594,242.33334350585938,422.3333435058594,245,420.3333435058594,3.333325195318088,25.39599046132496,3.1338866903414697,25.201886550887593,26.430293949326323,3.467214937411782,26.201886550887593,27.78065819348278,1.7580424435168993,27.724975318833287,29.738859043316356,0.9086140506237257,29.724975318833287,2,1,920.1999999997206,101.60000000009313,107.6999999997206
6,1,6,52,C52,false,C1 - Down Target | Up Target,0,Da,rectangle,touch,147.31,5.7996062992125985,360,752,47,272.58149606299213,10,57.996062992125985,6,201.81259935519873,6,34.79763779527559,left-down,330,297.4420260002257,273.3458069252298,61.37952580810666,409.63655495672594,298,276,296,280,64.66667175292969,419,64,418.3333435058594,0.9428054451127292,2.71220866870199,0.5579739997742763,2.6541930747702054,6.8086507078603145,1.4420260002257237,6.654193074770205,9.92368034254328,3.287145944823024,9.363445043274055,9.083006994311816,2.6204741918933365,8.69678854913343,2,1,466.3000000002794,100.3000000002794,116.10000000009313
7,1,7,11,C11,false,C1 - Down Target | Up Target,0,Da,rectangle,touch,147.31,5.7996062992125985,360,752,41,237.78385826771654,10,57.996062992125985,30,1009.0629967759937,10,57.996062992125985,up-left,60,224.1899609678812,466.2399144808219,105.29803183402291,260.31305261110094,199.6666717529297,471,217.33334350585938,459.66668701171875,161.33334350585938,265.3333435058594,159.33334350585938,269,4.1766457649678195,24.980995337857273,24.523289214951518,4.760085519178119,9.498448419667005,6.8566174620218305,6.573227469103131,56.2597500423513,56.03531167183647,5.020290894758432,54.729132666341485,54.03531167183647,8.686947388899057,2,1,377,131.6999999997206,123.89999999990687
8,1,8,7,C7,false,C1 - Down Target | Up Target,0,Da,rectangle,touch,147.31,5.7996062992125985,360,752,31,179.78779527559055,10,57.996062992125985,18,605.4377980655962,9,52.19645669291339,up,90,175.3923072188557,483.7275711082106,175.3923072188557,303.93977583262006,187,489.66668701171875,185.6666717529297,487.66668701171875,185.33334350585938,312,187.6666717529297,308.66668701171875,4.06883228782174,13.038850770552314,11.607692781144294,5.939115903508139,11.003599442014782,10.274364534073982,3.9391159035081387,12.798102050223674,9.94103628700367,8.060224167379943,13.153087622699903,12.274364534073982,4.726911179098693,2,1,345.3000000002794,122.70000000018626,141.60000000009313
9,1,9,60,C60,false,C1 - Down Target | Up Target,0,Da,rectangle,touch,147.31,5.7996062992125985,360,752,37,214.58543307086617,10,57.996062992125985,15,504.53149838799686,10,57.996062992125985,right-down,210,46.93272315686124,294.4476651468679,232.76915947831674,401.740381682301,62.333335876464844,311.3333435058594,64.66667175292969,313.3333435058594,249,396.3333435058594,242.33334350585938,400.66668701171875,7.951237309415497,22.85399321305861,15.4006127196036,16.88567835899147,25.90679022741483,17.733948596068444,18.88567835899147,17.107783196013813,16.230840521683263,5.407038176441631,9.624262899481623,9.564184027542638,1.073694670582256,2,1,557,98.20000000018626,158.3000000002794
10,1,10,20,C20,false,C1 - Down Target | Up Target,0,Da,rectangle,touch,147.31,5.7996062992125985,360,752,38,220.38503937007874,10,57.996062992125985,13,437.2606319362639,17,98.59330708661417,left-up,30,276.6515280631489,498.3051076229129,85.792485354627,388.1125879378735,274.3333435058594,494.3333435058594,274,490.66668701171875,84.66667175292969,413,85.66667175292969,405,8.06225774829855,4.598792215698526,2.3181845572894986,3.9717641170535103,8.085547013231784,2.6515280631488736,7.638420611194135,24.912862850661014,1.1258136016973168,24.887412062126486,16.88788072016223,0.1258136016973168,16.887412062126486,2,1,384.89999999990687,115.20000000018626,132.70000000018626
